Brand,Product_Type,Price_INR,Rating,Number_of_Reviews,Skin_Type,Age_Group,Key_Ingredient,Additional_Ingredient,Primary_Concern,Purchase_Date,Year,Month,Gender,Units Purchased,Price per Unit (₹),Brand Name,Country,State
L'Oreal,Night Cream,3155.56,5,33,Combination,46-55,Niacinamide,Ceramides,Sensitivity,8/22/2024,2024,August,Female,5,631.112,L'Oreal,France,Paris
Clinique,Sunscreen,1786.31,2.5,54,Dry,26-35,Peptides,Kojic Acid,Dark spots,7/8/2025,2025,July,Male,3,595.4366667,Clinique,USA,Chicago
Tatcha,Serum,4201.55,5,30,Oily,56+,Vitamin C,Retinol,Uneven texture,8/2/2025,2025,August,Female,5,840.31,Tatcha,India,Delhi
Clinique,Exfoliant,2178.81,4.6,11,Oily,36-45,Niacinamide,Hyaluronic Acid,Oiliness,4/8/2024,2024,April,Female,2,1089.405,Clinique,USA,Chicago
Fenty Beauty,Facial Oil,2368.84,4.3,352,Sensitive,36-45,Niacinamide,Glycolic Acid,Acne,4/24/2024,2024,April,Male,3,789.6133333,Fenty Beauty,India,Delhi
Kiehl's,Exfoliant,1946.49,4.3,27,Sensitive,26-35,Salicylic Acid,Retinol,Fine lines,1/26/2025,2025,January,Male,4,486.6225,Kiehl's,USA,New York
Skinceuticals,Eye Cream,3654.14,5,33,Sensitive,46-55,Peptides,Niacinamide,Dullness,7/11/2024,2024,July,Male,3,1218.046667,Skinceuticals,India,Delhi
Clinique,Moisturizer,3042.96,5,30,Combination,46-55,Tea Tree Oil,Lactic Acid,Sensitivity,8/4/2024,2024,August,Female,5,608.592,Clinique,USA,Chicago
Tatcha,Night Cream,4391.3,5,50,Dry,56+,Retinol,Vitamin C,Dullness,12/21/2024,2024,December,Male,1,4391.3,Tatcha,India,Delhi
Drunk Elephant,Facial Oil,3913.8,5,94,Acne-prone,36-45,Peptides,Alpha Arbutin,Uneven texture,4/6/2025,2025,April,Male,3,1304.6,Drunk Elephant,India,Delhi
Glossier,Exfoliant,1641.66,4.1,174,Sensitive,18-25,Zinc Oxide,Jojoba Oil,Acne,12/11/2024,2024,December,Male,4,410.415,Glossier,India,Delhi
Fenty Beauty,Facial Oil,2178.47,4.2,129,Acne-prone,26-35,Hyaluronic Acid,Niacinamide,Pores,4/9/2024,2024,April,Female,2,1089.235,Fenty Beauty,India,Delhi
Olay,Toner,1434.77,4.7,61,Sensitive,46-55,Glycolic Acid,Alpha Arbutin,Acne,9/29/2023,2023,September,Male,1,1434.77,Olay,USA,Ohio
Estee Lauder,Eye Cream,2598.23,4.6,34,Normal,26-35,Glycolic Acid,Hyaluronic Acid,Redness,2/5/2025,2025,February,Female,2,1299.115,Estee Lauder,USA,New York
Skinceuticals,Night Cream,4227.79,5,415,Acne-prone,46-55,Jojoba Oil,Peptides,Acne,1/6/2024,2024,January,Female,3,1409.263333,Skinceuticals,India,Delhi
Olay,Facial Oil,1292.7,3.8,48,Acne-prone,18-25,Salicylic Acid,Azelaic Acid,Redness,2/12/2025,2025,February,Male,5,258.54,Olay,USA,Ohio
Estee Lauder,Exfoliant,3250.87,4.1,78,Oily,18-25,Benzoyl Peroxide,Salicylic Acid,Pores,7/25/2025,2025,July,Male,5,650.174,Estee Lauder,USA,New York
Youth to the People,Moisturizer,944.37,5,5,Dry,56+,Hyaluronic Acid,Tea Tree Oil,Fine lines,7/31/2024,2024,July,Female,4,236.0925,Youth to the People,USA,Los Angeles
Skinceuticals,Cleanser,972.9,3.5,4,Oily,46-55,Alpha Arbutin,Azelaic Acid,Dullness,5/17/2025,2025,May,Male,5,194.58,Skinceuticals,India,Delhi
Rare Beauty,Night Cream,2511.15,4.8,12,Sensitive,56+,Ceramides,Azelaic Acid,Dark spots,8/15/2025,2025,August,Male,1,2511.15,Rare Beauty,USA,California
Tatcha,Toner,875.6,3.1,512,Acne-prone,36-45,Alpha Arbutin,Ceramides,Anti-aging,4/23/2025,2025,April,Female,5,175.12,Tatcha,India,Delhi
Fresh,Toner,1361.41,3.7,219,Oily,36-45,Benzoyl Peroxide,Ceramides,Oiliness,10/11/2023,2023,October,Female,4,340.3525,Fresh,India,Delhi
Clinique,Toner,1112.75,4,454,Combination,46-55,Ceramides,Zinc Oxide,Pores,1/15/2024,2024,January,Male,3,370.9166667,Clinique,USA,Chicago
Glossier,Serum,2131.58,3.6,551,Normal,18-25,Hyaluronic Acid,Azelaic Acid,Dullness,10/22/2024,2024,October,Female,3,710.5266667,Glossier,India,Delhi
The Ordinary,Exfoliant,1110.19,3.5,96,Combination,26-35,Kojic Acid,Tea Tree Oil,Hyperpigmentation,2/23/2025,2025,February,Male,5,222.038,The Ordinary,Canada,Toronto
Aveeno,Night Cream,2912.86,4.5,29,Normal,26-35,Glycolic Acid,Squalane,Oiliness,1/4/2025,2025,January,Male,2,1456.43,Aveeno,India,Delhi
CeraVe,Facial Oil,2204.66,5,11,Normal,36-45,Peptides,Kojic Acid,Sensitivity,4/30/2024,2024,April,Male,3,734.8866667,CeraVe,India,Delhi
Paula's Choice,Sunscreen,864.43,4.6,117,Oily,18-25,Benzoyl Peroxide,Niacinamide,Sensitivity,5/21/2025,2025,May,Female,5,172.886,Paula's Choice,India,Delhi
Neutrogena,Cleanser,1258.89,4.2,252,Sensitive,36-45,Hyaluronic Acid,Kojic Acid,Fine lines,2/18/2025,2025,February,Male,4,314.7225,Neutrogena,USA,Los Angeles
Aveeno,Facial Oil,1207.1,3.7,30,Oily,18-25,Salicylic Acid,Jojoba Oil,Acne,1/26/2025,2025,January,Male,5,241.42,Aveeno,India,Delhi
Neutrogena,Facial Oil,1972.93,4.3,38,Sensitive,56+,Lactic Acid,Retinol,Dullness,8/18/2024,2024,August,Male,3,657.6433333,Neutrogena,USA,Los Angeles
Drunk Elephant,Eye Cream,3829.45,5,109,Combination,46-55,Kojic Acid,Hyaluronic Acid,Dullness,2/22/2024,2024,February,Female,4,957.3625,Drunk Elephant,India,Delhi
Youth to the People,Cleanser,861.43,4.5,6,Sensitive,56+,Niacinamide,Azelaic Acid,Anti-aging,6/25/2024,2024,June,Female,5,172.286,Youth to the People,USA,Los Angeles
Youth to the People,Sunscreen,1526.42,5,38,Combination,46-55,Lactic Acid,Retinol,Acne,3/22/2025,2025,March,Female,1,1526.42,Youth to the People,USA,Los Angeles
CeraVe,Toner,1245.91,3.5,292,Combination,18-25,Tea Tree Oil,Zinc Oxide,Dryness,3/21/2025,2025,March,Female,4,311.4775,CeraVe,India,Delhi
Olay,Serum,1766.11,4.3,36,Sensitive,26-35,Squalane,Glycolic Acid,Pores,1/27/2025,2025,January,Female,1,1766.11,Olay,USA,Ohio
Fenty Beauty,Serum,2390.07,4.8,179,Combination,18-25,Vitamin C,Peptides,Dullness,5/14/2025,2025,May,Male,2,1195.035,Fenty Beauty,India,Delhi
Olay,Eye Cream,2596.72,3.9,38,Normal,56+,Salicylic Acid,Alpha Arbutin,Oiliness,3/22/2024,2024,March,Female,4,649.18,Olay,USA,Ohio
Clinique,Toner,1410.11,4.2,195,Combination,36-45,Glycolic Acid,Titanium Dioxide,Dark spots,12/31/2023,2023,December,Female,1,1410.11,Clinique,USA,Chicago
Estee Lauder,Cleanser,823.7,4.9,184,Dry,56+,Benzoyl Peroxide,Squalane,Pores,12/5/2024,2024,December,Female,3,274.5666667,Estee Lauder,USA,New York
Clinique,Exfoliant,3128.14,5,110,Combination,36-45,Benzoyl Peroxide,Retinol,Fine lines,12/21/2023,2023,December,Male,3,1042.713333,Clinique,USA,Chicago
CeraVe,Moisturizer,964.14,3.6,169,Sensitive,46-55,Vitamin C,Niacinamide,Sensitivity,1/30/2024,2024,January,Female,2,482.07,CeraVe,India,Delhi
Neutrogena,Sunscreen,1484,4.7,370,Dry,46-55,Hyaluronic Acid,Jojoba Oil,Anti-aging,5/1/2024,2024,May,Female,4,371,Neutrogena,USA,Los Angeles
The Ordinary,Facial Oil,1310.71,5,73,Oily,36-45,Benzoyl Peroxide,Niacinamide,Uneven texture,6/5/2024,2024,June,Male,4,327.6775,The Ordinary,Canada,Toronto
The Ordinary,Moisturizer,1143.07,3.3,16,Acne-prone,36-45,Bakuchiol,Lactic Acid,Dullness,11/30/2024,2024,November,Female,4,285.7675,The Ordinary,Canada,Toronto
Aveeno,Serum,1230.77,3.9,82,Normal,18-25,Squalane,Titanium Dioxide,Dryness,3/22/2025,2025,March,Male,2,615.385,Aveeno,India,Delhi
Aveeno,Sunscreen,1115.8,2.5,165,Dry,26-35,Squalane,Salicylic Acid,Oiliness,1/3/2025,2025,January,Male,4,278.95,Aveeno,India,Delhi
The Ordinary,Toner,971.72,3.3,101,Sensitive,46-55,Alpha Arbutin,Kojic Acid,Anti-aging,10/2/2023,2023,October,Male,3,323.9066667,The Ordinary,Canada,Toronto
Origins,Facial Oil,2340.43,5,15,Dry,56+,Jojoba Oil,Niacinamide,Acne,11/16/2024,2024,November,Male,1,2340.43,Origins,India,Delhi
Kiehl's,Toner,2122.3,5,87,Oily,36-45,Zinc Oxide,Retinol,Anti-aging,3/27/2025,2025,March,Male,3,707.4333333,Kiehl's,USA,New York
Clinique,Facial Oil,3222.2,5,27,Oily,36-45,Niacinamide,Lactic Acid,Oiliness,10/5/2023,2023,October,Female,3,1074.066667,Clinique,USA,Chicago
Clinique,Cleanser,1203.23,4.8,5,Sensitive,46-55,Tea Tree Oil,Ceramides,Oiliness,6/17/2024,2024,June,Male,1,1203.23,Clinique,USA,Chicago
Neutrogena,Cleanser,1175.15,4.6,203,Acne-prone,46-55,Hyaluronic Acid,Titanium Dioxide,Uneven texture,5/1/2025,2025,May,Male,3,391.7166667,Neutrogena,USA,Los Angeles
Glossier,Cleanser,870.89,3.3,52,Normal,26-35,Salicylic Acid,Peptides,Fine lines,10/12/2024,2024,October,Female,2,435.445,Glossier,India,Delhi
Neutrogena,Serum,1839.26,3.1,15,Dry,56+,Niacinamide,Tea Tree Oil,Dullness,7/16/2024,2024,July,Male,1,1839.26,Neutrogena,USA,Los Angeles
Clinique,Exfoliant,3498.89,5,45,Combination,56+,Salicylic Acid,Benzoyl Peroxide,Anti-aging,8/18/2024,2024,August,Female,3,1166.296667,Clinique,USA,Chicago
La Roche-Posay,Exfoliant,1950.52,4.3,31,Sensitive,36-45,Benzoyl Peroxide,Alpha Arbutin,Sensitivity,11/19/2023,2023,November,Female,5,390.104,La Roche-Posay,India,Delhi
Skinceuticals,Eye Cream,2345.04,5,16,Sensitive,46-55,Titanium Dioxide,Hyaluronic Acid,Sensitivity,7/17/2024,2024,July,Female,3,781.68,Skinceuticals,India,Delhi
Origins,Facial Oil,1460.67,2.7,21,Sensitive,18-25,Azelaic Acid,Glycolic Acid,Hyperpigmentation,12/20/2023,2023,December,Male,2,730.335,Origins,India,Delhi
Glossier,Facial Oil,2337.7,4.9,173,Acne-prone,46-55,Lactic Acid,Bakuchiol,Fine lines,2/3/2025,2025,February,Male,4,584.425,Glossier,India,Delhi
The Ordinary,Cleanser,1026.58,3.7,51,Dry,36-45,Alpha Arbutin,Kojic Acid,Sensitivity,6/25/2024,2024,June,Male,3,342.1933333,The Ordinary,Canada,Toronto
Clinique,Cleanser,1059.67,3.4,111,Combination,36-45,Retinol,Niacinamide,Dark spots,3/15/2025,2025,March,Female,4,264.9175,Clinique,USA,Chicago
Neutrogena,Moisturizer,1981.19,3.5,18,Sensitive,56+,Zinc Oxide,Ceramides,Uneven texture,4/15/2025,2025,April,Male,5,396.238,Neutrogena,USA,Los Angeles
Glossier,Facial Oil,1333.79,4.7,5,Acne-prone,18-25,Lactic Acid,Bakuchiol,Sensitivity,11/4/2023,2023,November,Male,3,444.5966667,Glossier,India,Delhi
Origins,Toner,866.57,3.3,118,Sensitive,26-35,Titanium Dioxide,Azelaic Acid,Acne,10/3/2024,2024,October,Male,1,866.57,Origins,India,Delhi
Youth to the People,Face Mask,793.36,3.5,186,Dry,18-25,Lactic Acid,Tea Tree Oil,Dullness,10/1/2023,2023,October,Female,4,198.34,Youth to the People,USA,Los Angeles
The Ordinary,Exfoliant,1316.15,2.4,33,Combination,18-25,Titanium Dioxide,Hyaluronic Acid,Redness,10/29/2023,2023,October,Female,5,263.23,The Ordinary,Canada,Toronto
Estee Lauder,Eye Cream,4800.2,5,34,Normal,56+,Benzoyl Peroxide,Retinol,Fine lines,4/22/2024,2024,April,Male,1,4800.2,Estee Lauder,USA,New York
The Ordinary,Face Mask,550.2,3.6,12,Combination,26-35,Kojic Acid,Jojoba Oil,Anti-aging,10/11/2023,2023,October,Male,1,550.2,The Ordinary,Canada,Toronto
Origins,Exfoliant,1677.94,4.6,25,Acne-prone,56+,Peptides,Bakuchiol,Fine lines,7/15/2024,2024,July,Male,1,1677.94,Origins,India,Delhi
Glossier,Sunscreen,939.99,3.3,38,Combination,36-45,Titanium Dioxide,Hyaluronic Acid,Redness,3/1/2025,2025,March,Male,1,939.99,Glossier,India,Delhi
Fenty Beauty,Moisturizer,1259.05,4,12,Dry,36-45,Bakuchiol,Retinol,Dark spots,2/11/2024,2024,February,Female,3,419.6833333,Fenty Beauty,India,Delhi
Fresh,Moisturizer,1904.04,4.3,26,Combination,46-55,Ceramides,Lactic Acid,Uneven texture,5/13/2024,2024,May,Female,3,634.68,Fresh,India,Delhi
CeraVe,Facial Oil,2438.61,5,206,Dry,36-45,Glycolic Acid,Hyaluronic Acid,Sensitivity,3/17/2025,2025,March,Female,3,812.87,CeraVe,India,Delhi
Skinceuticals,Night Cream,2465.2,5,221,Oily,26-35,Retinol,Ceramides,Pores,12/3/2024,2024,December,Female,5,493.04,Skinceuticals,India,Delhi
Clinique,Eye Cream,3886.08,5,137,Dry,36-45,Azelaic Acid,Jojoba Oil,Dark spots,9/25/2024,2024,September,Male,5,777.216,Clinique,USA,Chicago
Tatcha,Face Mask,1140.75,3.8,155,Acne-prone,18-25,Peptides,Alpha Arbutin,Oiliness,9/29/2024,2024,September,Male,5,228.15,Tatcha,India,Delhi
Fresh,Night Cream,2347.22,4.7,260,Acne-prone,18-25,Kojic Acid,Bakuchiol,Redness,5/2/2025,2025,May,Male,2,1173.61,Fresh,India,Delhi
Neutrogena,Toner,565.06,3.1,48,Normal,36-45,Vitamin C,Zinc Oxide,Oiliness,12/3/2023,2023,December,Female,5,113.012,Neutrogena,USA,Los Angeles
Origins,Face Mask,639.89,3.4,10,Acne-prone,18-25,Azelaic Acid,Vitamin C,Dark spots,7/16/2024,2024,July,Male,3,213.2966667,Origins,India,Delhi
Drunk Elephant,Moisturizer,1336.13,4.4,133,Combination,26-35,Squalane,Jojoba Oil,Sensitivity,4/22/2024,2024,April,Female,3,445.3766667,Drunk Elephant,India,Delhi
Olay,Toner,974.02,3.5,15,Dry,26-35,Bakuchiol,Azelaic Acid,Pores,8/3/2024,2024,August,Female,2,487.01,Olay,USA,Ohio
Origins,Facial Oil,2012.09,4.5,13,Acne-prone,26-35,Retinol,Zinc Oxide,Redness,4/21/2024,2024,April,Male,2,1006.045,Origins,India,Delhi
Fresh,Cleanser,1223.3,5,195,Combination,36-45,Retinol,Ceramides,Fine lines,1/14/2025,2025,January,Male,5,244.66,Fresh,India,Delhi
Drunk Elephant,Exfoliant,1980.39,4.1,33,Oily,36-45,Ceramides,Squalane,Dullness,7/1/2024,2024,July,Male,4,495.0975,Drunk Elephant,India,Delhi
Tatcha,Eye Cream,2032.29,4,20,Normal,18-25,Kojic Acid,Retinol,Fine lines,8/3/2024,2024,August,Female,2,1016.145,Tatcha,India,Delhi
Neutrogena,Moisturizer,1133.35,2.4,78,Dry,26-35,Lactic Acid,Kojic Acid,Redness,8/6/2024,2024,August,Male,1,1133.35,Neutrogena,USA,Los Angeles
Clinique,Sunscreen,2185.36,5,67,Oily,56+,Titanium Dioxide,Lactic Acid,Fine lines,1/2/2024,2024,January,Female,3,728.4533333,Clinique,USA,Chicago
Olay,Sunscreen,900.75,4.8,39,Dry,36-45,Bakuchiol,Lactic Acid,Sensitivity,5/11/2025,2025,May,Male,1,900.75,Olay,USA,Ohio
Fenty Beauty,Cleanser,1259.34,5,31,Acne-prone,46-55,Bakuchiol,Titanium Dioxide,Dark spots,1/28/2025,2025,January,Female,3,419.78,Fenty Beauty,India,Delhi
Youth to the People,Face Mask,806.44,3.8,21,Oily,36-45,Tea Tree Oil,Peptides,Dullness,5/2/2025,2025,May,Female,3,268.8133333,Youth to the People,USA,Los Angeles
Origins,Exfoliant,1555.64,3.8,50,Dry,56+,Squalane,Lactic Acid,Pores,6/24/2024,2024,June,Male,2,777.82,Origins,India,Delhi
Glossier,Moisturizer,1952.32,5,99,Normal,36-45,Alpha Arbutin,Salicylic Acid,Anti-aging,9/12/2025,2025,September,Female,2,976.16,Glossier,India,Delhi
Estee Lauder,Eye Cream,3887.48,5,48,Normal,26-35,Bakuchiol,Tea Tree Oil,Uneven texture,2/8/2025,2025,February,Female,1,3887.48,Estee Lauder,USA,New York
L'Oreal,Cleanser,662.61,3.6,112,Sensitive,18-25,Tea Tree Oil,Salicylic Acid,Fine lines,1/10/2024,2024,January,Male,3,220.87,L'Oreal,France,Paris
Youth to the People,Exfoliant,1365.92,3.2,6,Sensitive,46-55,Jojoba Oil,Zinc Oxide,Dryness,3/29/2025,2025,March,Female,1,1365.92,Youth to the People,USA,Los Angeles
Paula's Choice,Exfoliant,1682.13,3.8,47,Normal,56+,Alpha Arbutin,Squalane,Dryness,5/29/2025,2025,May,Male,4,420.5325,Paula's Choice,India,Delhi
Origins,Facial Oil,2131.05,4.7,134,Normal,18-25,Benzoyl Peroxide,Bakuchiol,Redness,11/14/2024,2024,November,Female,1,2131.05,Origins,India,Delhi
Tatcha,Toner,878.23,3.1,771,Sensitive,18-25,Glycolic Acid,Titanium Dioxide,Anti-aging,3/9/2025,2025,March,Male,5,175.646,Tatcha,India,Delhi
Youth to the People,Eye Cream,1760.68,3.2,22,Oily,26-35,Salicylic Acid,Zinc Oxide,Redness,4/26/2024,2024,April,Male,1,1760.68,Youth to the People,USA,Los Angeles
Youth to the People,Night Cream,3407.94,4.7,117,Acne-prone,36-45,Glycolic Acid,Squalane,Acne,5/9/2025,2025,May,Female,5,681.588,Youth to the People,USA,Los Angeles
Kiehl's,Exfoliant,2977.02,4.6,23,Combination,26-35,Benzoyl Peroxide,Bakuchiol,Hyperpigmentation,8/29/2025,2025,August,Female,5,595.404,Kiehl's,USA,New York
Clinique,Facial Oil,2905.36,5,140,Acne-prone,56+,Kojic Acid,Peptides,Redness,6/2/2025,2025,June,Female,5,581.072,Clinique,USA,Chicago
L'Oreal,Moisturizer,1258.78,4.5,24,Combination,26-35,Azelaic Acid,Ceramides,Dullness,12/10/2023,2023,December,Female,4,314.695,L'Oreal,France,Paris
Skinceuticals,Eye Cream,4237.42,5,40,Combination,56+,Hyaluronic Acid,Squalane,Uneven texture,3/1/2025,2025,March,Female,1,4237.42,Skinceuticals,India,Delhi
Kiehl's,Night Cream,4456.26,5,11,Sensitive,56+,Jojoba Oil,Azelaic Acid,Acne,6/18/2025,2025,June,Male,1,4456.26,Kiehl's,USA,New York
Glossier,Serum,2617.95,5,25,Dry,46-55,Salicylic Acid,Vitamin C,Uneven texture,4/23/2024,2024,April,Female,4,654.4875,Glossier,India,Delhi
Fresh,Eye Cream,2413.76,4.6,428,Oily,56+,Azelaic Acid,Vitamin C,Uneven texture,11/14/2024,2024,November,Male,3,804.5866667,Fresh,India,Delhi
Youth to the People,Moisturizer,1266.64,3.6,50,Normal,26-35,Bakuchiol,Glycolic Acid,Sensitivity,10/29/2024,2024,October,Male,2,633.32,Youth to the People,USA,Los Angeles
CeraVe,Sunscreen,1167.29,4.1,19,Dry,18-25,Squalane,Titanium Dioxide,Acne,6/29/2024,2024,June,Female,1,1167.29,CeraVe,India,Delhi
Kiehl's,Moisturizer,2525.96,4.9,191,Combination,18-25,Glycolic Acid,Bakuchiol,Redness,1/9/2024,2024,January,Male,2,1262.98,Kiehl's,USA,New York
Estee Lauder,Cleanser,1697.95,3.8,41,Dry,36-45,Retinol,Bakuchiol,Sensitivity,1/23/2025,2025,January,Male,4,424.4875,Estee Lauder,USA,New York
Neutrogena,Eye Cream,2941.1,5,173,Oily,26-35,Titanium Dioxide,Bakuchiol,Hyperpigmentation,3/17/2025,2025,March,Male,3,980.3666667,Neutrogena,USA,Los Angeles
Fresh,Sunscreen,986.1,5,109,Normal,18-25,Lactic Acid,Titanium Dioxide,Fine lines,12/8/2023,2023,December,Male,3,328.7,Fresh,India,Delhi
Paula's Choice,Night Cream,1513.15,3.5,5,Combination,18-25,Ceramides,Tea Tree Oil,Dryness,11/27/2023,2023,November,Female,3,504.3833333,Paula's Choice,India,Delhi
Youth to the People,Night Cream,1402.83,4.4,75,Acne-prone,46-55,Ceramides,Azelaic Acid,Acne,11/17/2024,2024,November,Male,4,350.7075,Youth to the People,USA,Los Angeles
Neutrogena,Night Cream,3568.46,5,42,Acne-prone,56+,Benzoyl Peroxide,Bakuchiol,Oiliness,9/15/2025,2025,September,Female,5,713.692,Neutrogena,USA,Los Angeles
Aveeno,Sunscreen,851.47,3.1,144,Acne-prone,46-55,Tea Tree Oil,Glycolic Acid,Pores,11/10/2024,2024,November,Female,5,170.294,Aveeno,India,Delhi
Youth to the People,Exfoliant,1358.53,3.1,133,Acne-prone,56+,Tea Tree Oil,Lactic Acid,Dryness,5/7/2024,2024,May,Male,2,679.265,Youth to the People,USA,Los Angeles
Fenty Beauty,Exfoliant,1436.16,4.8,128,Acne-prone,46-55,Lactic Acid,Niacinamide,Fine lines,6/6/2024,2024,June,Female,5,287.232,Fenty Beauty,India,Delhi
Origins,Toner,624.32,3.5,27,Combination,26-35,Glycolic Acid,Alpha Arbutin,Dark spots,8/20/2024,2024,August,Female,5,124.864,Origins,India,Delhi
Skinceuticals,Moisturizer,3197.54,4.2,80,Sensitive,26-35,Squalane,Hyaluronic Acid,Sensitivity,3/16/2025,2025,March,Female,3,1065.846667,Skinceuticals,India,Delhi
Clinique,Sunscreen,1740.68,5,28,Oily,46-55,Alpha Arbutin,Titanium Dioxide,Redness,11/14/2024,2024,November,Male,3,580.2266667,Clinique,USA,Chicago
Paula's Choice,Moisturizer,1384.1,3.2,125,Oily,36-45,Ceramides,Jojoba Oil,Pores,10/6/2023,2023,October,Female,2,692.05,Paula's Choice,India,Delhi
La Roche-Posay,Toner,773.78,3.7,57,Normal,46-55,Tea Tree Oil,Hyaluronic Acid,Redness,12/15/2023,2023,December,Female,1,773.78,La Roche-Posay,India,Delhi
The Ordinary,Cleanser,791.59,2.8,125,Dry,18-25,Tea Tree Oil,Zinc Oxide,Dryness,9/23/2023,2023,September,Female,2,395.795,The Ordinary,Canada,Toronto
Paula's Choice,Facial Oil,1838.2,4.8,170,Acne-prone,36-45,Alpha Arbutin,Kojic Acid,Dullness,12/17/2024,2024,December,Male,2,919.1,Paula's Choice,India,Delhi
Clinique,Toner,1627.42,4.4,137,Oily,56+,Glycolic Acid,Squalane,Dark spots,3/24/2024,2024,March,Female,4,406.855,Clinique,USA,Chicago
Aveeno,Eye Cream,1653.23,4.1,96,Normal,46-55,Tea Tree Oil,Jojoba Oil,Pores,8/6/2025,2025,August,Male,4,413.3075,Aveeno,India,Delhi
Youth to the People,Sunscreen,729.13,4,69,Combination,26-35,Niacinamide,Ceramides,Redness,10/10/2023,2023,October,Male,2,364.565,Youth to the People,USA,Los Angeles
La Roche-Posay,Facial Oil,1671.34,4.4,40,Oily,26-35,Azelaic Acid,Jojoba Oil,Dryness,3/9/2024,2024,March,Male,2,835.67,La Roche-Posay,India,Delhi
Origins,Exfoliant,1146.76,4,1991,Acne-prone,36-45,Niacinamide,Squalane,Pores,5/16/2025,2025,May,Male,2,573.38,Origins,India,Delhi
Olay,Moisturizer,1609.19,4.1,18,Normal,56+,Glycolic Acid,Squalane,Uneven texture,6/4/2024,2024,June,Male,5,321.838,Olay,USA,Ohio
Fenty Beauty,Night Cream,2517.99,5,215,Combination,26-35,Azelaic Acid,Glycolic Acid,Oiliness,5/18/2024,2024,May,Male,4,629.4975,Fenty Beauty,India,Delhi
Fenty Beauty,Serum,1895.39,4.8,4,Acne-prone,36-45,Retinol,Tea Tree Oil,Pores,3/21/2025,2025,March,Female,2,947.695,Fenty Beauty,India,Delhi
Aveeno,Face Mask,566.39,5,48,Sensitive,18-25,Peptides,Zinc Oxide,Acne,8/24/2024,2024,August,Male,3,188.7966667,Aveeno,India,Delhi
Fresh,Toner,746.3,3.7,113,Oily,18-25,Squalane,Titanium Dioxide,Pores,2/19/2025,2025,February,Female,3,248.7666667,Fresh,India,Delhi
Clinique,Sunscreen,1423.51,4,75,Oily,36-45,Peptides,Zinc Oxide,Oiliness,1/5/2025,2025,January,Female,5,284.702,Clinique,USA,Chicago
Aveeno,Eye Cream,2259.12,5,24,Sensitive,18-25,Titanium Dioxide,Niacinamide,Pores,8/29/2024,2024,August,Male,5,451.824,Aveeno,India,Delhi
Glossier,Toner,1308.06,4.5,231,Oily,18-25,Azelaic Acid,Titanium Dioxide,Dullness,6/6/2024,2024,June,Female,1,1308.06,Glossier,India,Delhi
Kiehl's,Exfoliant,1396.22,4.2,28,Sensitive,26-35,Glycolic Acid,Benzoyl Peroxide,Acne,4/17/2025,2025,April,Female,1,1396.22,Kiehl's,USA,New York
CeraVe,Eye Cream,2072.14,4.6,10,Acne-prone,46-55,Squalane,Azelaic Acid,Dryness,6/15/2025,2025,June,Female,1,2072.14,CeraVe,India,Delhi
Drunk Elephant,Eye Cream,4192.31,5,18,Combination,18-25,Niacinamide,Lactic Acid,Hyperpigmentation,4/2/2025,2025,April,Female,5,838.462,Drunk Elephant,India,Delhi
Kiehl's,Night Cream,3221.71,5,22,Acne-prone,36-45,Ceramides,Zinc Oxide,Oiliness,3/6/2024,2024,March,Male,5,644.342,Kiehl's,USA,New York
Olay,Exfoliant,2251,4.1,51,Normal,18-25,Titanium Dioxide,Zinc Oxide,Dullness,1/6/2024,2024,January,Female,5,450.2,Olay,USA,Ohio
La Roche-Posay,Serum,2347.92,4.5,23,Normal,18-25,Titanium Dioxide,Ceramides,Acne,4/8/2024,2024,April,Male,3,782.64,La Roche-Posay,India,Delhi
La Roche-Posay,Toner,1178,3.4,124,Sensitive,36-45,Titanium Dioxide,Lactic Acid,Acne,11/10/2024,2024,November,Female,5,235.6,La Roche-Posay,India,Delhi
Neutrogena,Eye Cream,2013.68,3.8,112,Dry,18-25,Alpha Arbutin,Tea Tree Oil,Dark spots,8/1/2025,2025,August,Female,3,671.2266667,Neutrogena,USA,Los Angeles
The Ordinary,Cleanser,935.39,4,251,Dry,56+,Niacinamide,Jojoba Oil,Redness,11/10/2024,2024,November,Male,1,935.39,The Ordinary,Canada,Toronto
Fenty Beauty,Cleanser,841.97,2.9,70,Normal,36-45,Hyaluronic Acid,Retinol,Dark spots,9/20/2023,2023,September,Female,1,841.97,Fenty Beauty,India,Delhi
Rare Beauty,Serum,1426.57,3.4,8,Normal,46-55,Squalane,Titanium Dioxide,Anti-aging,8/13/2024,2024,August,Female,1,1426.57,Rare Beauty,USA,California
Estee Lauder,Sunscreen,2227.19,4.2,96,Dry,36-45,Ceramides,Squalane,Acne,9/6/2025,2025,September,Female,2,1113.595,Estee Lauder,USA,New York
Neutrogena,Serum,2002.21,5,14,Combination,26-35,Tea Tree Oil,Alpha Arbutin,Oiliness,2/27/2025,2025,February,Male,2,1001.105,Neutrogena,USA,Los Angeles
Youth to the People,Toner,1152.46,3.9,54,Normal,46-55,Alpha Arbutin,Vitamin C,Uneven texture,10/4/2024,2024,October,Female,4,288.115,Youth to the People,USA,Los Angeles
Origins,Serum,1850.58,3.7,109,Sensitive,46-55,Niacinamide,Azelaic Acid,Sensitivity,6/30/2024,2024,June,Male,4,462.645,Origins,India,Delhi
